JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
135,1260,23.04237747,23.31078148,23.52166557,23.77180099,23.81195259,23.67271805,22.9691906,20.83241844,17.81451607,15.49166775,12.96984863,17.28046417
135,1320,22.41189384,22.66061592,22.8855114,23.17604065,23.29102707,23.24736595,22.76070976,20.91758347,17.85306931,15.49166775,12.5776062,16.78531647
135,1380,21.79842758,22.19141388,22.33535576,22.66852951,22.83024216,22.85278702,22.52986717,20.96943665,17.89179993,15.49166775,12.28338623,16.3535862
166,0,26.11247826,26.34078026,26.53348541,26.8113327,26.94934082,26.95677948,26.62190056,25.00987816,21.15099716,15.49166775,17.17605591,20.99788094
166,60,25.73480034,25.9467907,26.1305275,26.40915489,26.56812096,26.61181259,26.38150406,25.00463867,21.17192078,15.49166775,17.0173645,20.74286842
166,120,25.43266487,25.61513329,25.79615593,26.06539917,26.23374367,26.30090904,26.15036583,24.97680664,21.19185638,15.49166775,16.90240479,20.54531479
166,180,25.06515121,25.41891098,25.48820305,25.7701416,25.93988037,26.02243042,25.93190002,24.93073082,21.21041489,15.49166775,16.81912231,20.33699989
166,240,24.92943382,25.13020134,25.26138687,25.51190567,25.68123817,25.7728138,25.72731209,24.87034607,21.227314,15.49166775,16.75875854,20.24357986
166,300,24.84940147,24.97599602,25.09559059,25.3053875,25.46020889,25.55172348,25.53697968,24.79907799,21.24235535,15.49166775,16.75085449,20.20689964
166,360,25.31649017,25.24847412,25.22124863,25.25552559,25.32397652,25.37798119,25.36431313,24.71995354,21.25540924,15.49166775,17.78515625,21.00099754
166,420,26.39299202,26.06583786,25.8235054,25.53775406,25.40058899,25.3304348,25.23037148,24.63665581,21.26641083,15.49166775,19.67022705,22.54246902
166,480,27.89526367,27.30879784,26.82998276,26.16077614,25.74113464,25.47307968,25.17413139,24.55562782,21.27541351,15.49166775,22.15405273,24.60835266
166,540,29.66869164,28.83407211,28.1310482,27.0663166,26.33050728,25.81989479,25.2276783,24.48626328,21.2825985,15.49166775,24.90466309,26.94240952
166,600,31.4455471,30.43964386,29.56365776,28.15808868,27.11775017,26.35187721,25.40577888,24.43909454,21.28836823,15.49166775,27.55444336,29.21977234
166,660,32.78191376,31.78056145,30.85731316,29.26532936,27.99925995,27.01216888,25.70285034,24.42370224,21.29330826,15.49166775,29.74914551,31.04788017
166,720,33.84967804,32.81536865,31.86143303,30.19659615,28.8192234,27.69434929,26.086586,24.44640541,21.29817581,15.49166775,31.19543457,32.33339691
166,780,34.78953552,33.80641174,32.79735947,31.06604767,29.59102058,28.35616112,26.51273537,24.50826836,21.30377769,15.49166775,31.70001221,33.02459335
166,840,35.40539169,34.44267273,33.51906204,31.80588531,30.29544067,28.99008942,26.95764542,24.60674095,21.31086349,15.49166775,31.19543457,32.99997711
166,900,35.47516251,34.67063522,33.86984253,32.30405045,30.85070419,29.54270935,27.39701843,24.73732758,21.32010078,15.49166775,29.74914551,32.20296478
166,960,34.94708252,34.38250351,33.77501678,32.48119736,31.18519783,29.9534359,27.79685593,24.89308739,21.33201218,15.49166775,27.55444336,30.72175789
166,1020,33.89720917,33.60381317,33.22599411,32.29378891,31.24466324,30.16885757,28.11941147,25.06430054,21.34691811,15.49166775,24.90466309,28.75657272
166,1080,32.4471283,32.42447662,32.29368591,31.76734352,31.02251816,30.16314697,28.33135605,25.23891068,21.36491203,15.49166775,22.15405273,26.56203842
166,1140,30.81842995,31.02241135,31.1066246,30.9706955,30.54778099,29.93937874,28.41200066,25.40388107,21.3858242,15.49166775,19.67022705,24.4433403
166,1200,29.54366684,29.80285835,29.9762249,30.08130074,29.9155426,29.54135132,28.35820389,25.54687309,21.40922165,15.49166775,18.69021606,23.33608055
166,1260,28.63418007,28.90844345,29.09692383,29.30613327,29.2864933,29.07426834,28.19550896,25.65848541,21.4344883,15.49166775,18.11447144,22.6164608
166,1320,28.06382179,28.11218834,28.42817116,28.65729523,28.7224884,28.61470222,27.96933365,25.73456383,21.46087646,15.49166775,17.69729614,22.13272858
166,1380,27.37711525,27.62157059,27.82755852,28.10755348,28.22277641,28.18635178,27.71619034,25.77585793,21.48763466,15.49166775,17.39505005,21.66502571
196,0,29.44142151,29.64443588,29.81346893,30.0488472,30.14987183,30.12464714,29.73340797,28.0104866,23.59086037,15.49166775,21.21844482,24.7351532
196,60,29.08646011,29.26822472,29.42886925,29.6615448,29.78015518,29.78749084,29.49307442,27.9932766,23.59827805,15.49166775,21.07717896,24.50008774
196,120,28.59036446,29.11868095,29.06853485,29.3354969,29.45650101,29.48426437,29.26272583,27.95461464,23.60488892,15.49166775,20.97442627,24.22694778
196,180,28.54881287,28.70334244,28.83858871,29.04857254,29.1736412,29.21333313,29.04556084,27.89877129,23.61032104,15.49166775,20.8996582,24.16290092
196,240,28.35556602,28.49167442,28.61242104,28.80481911,28.92522812,28.97118378,28.84263611,27.82959557,23.6143074,15.49166775,20.84524536,24.0483036
196,300,28.53621292,28.08517838,28.4977169,28.59618378,28.71120834,28.75654602,28.65423012,27.75042343,23.61665154,15.49166775,20.80749512,24.10560799
196,360,28.64303589,28.56527138,28.52784157,28.53297997,28.56596375,28.580513,28.48188019,27.66413307,23.61722946,15.49166775,21.68682861,24.65700722
196,420,29.68246651,29.35198021,29.10217857,28.79481506,28.62849808,28.52397156,28.34457779,27.57401466,23.61598396,15.49166775,23.34051514,26.04999352
